Contig ID,Size,Lmic_ech1,Lmic F ENV RPKM
Lmic_v1_contig_1011,2044,7170,44.82704713
Lmic_v1_contig_10110,3037,1798,7.565659004
Lmic_v1_contig_10111,982,2167,28.20001187
Lmic_v1_contig_10112,210,1216,73.99734672
Lmic_v1_contig_10113,2886,1536,6.80137556
Lmic_v1_contig_10114,585,2954,64.52923142
Lmic_v1_contig_10115,2271,1357,7.635976462
Lmic_v1_contig_10116,368,1626,56.46438343
Lmic_v1_contig_10117,2089,3278,20.05267785
Lmic_v1_contig_10118,681,2007,37.66189152
Lmic_v1_contig_10119,2019,2368,14.98812294
Lmic_v1_contig_1012,1639,1163,9.067814532
Lmic_v1_contig_10120,3056,1657,6.929007415
Lmic_v1_contig_10121,770,561,9.310521422
Lmic_v1_contig_10122,1260,589,5.973744136
Lmic_v1_contig_10123,1089,2794,32.78690253
Lmic_v1_contig_10124,2160,7507,44.41345227
Lmic_v1_contig_10125,1905,2806,18.82324757
Lmic_v1_contig_10126,1925,441,2.927586415
Lmic_v1_contig_10127,822,1167,18.14265767
Lmic_v1_contig_10128,781,971,15.88803045
Lmic_v1_contig_10129,2799,2532,11.56012873
Lmic_v1_contig_1013,666,4376,83.96628752
Lmic_v1_contig_10130,1027,1235,15.36732873
Lmic_v1_contig_10131,511,573,14.32965021
Lmic_v1_contig_10132,3490,1641,6.008762266
Lmic_v1_contig_10133,470,12258,333.2910309
Lmic_v1_contig_10134,2043,4620,28.89851168
Lmic_v1_contig_10135,1120,4171,47.59091281
Lmic_v1_contig_10136,1412,2095,18.96056166
Lmic_v1_contig_10137,1123,196,2.230376511
Lmic_v1_contig_10138,1808,5882,41.57463658
Lmic_v1_contig_10139,657,724,14.08234774
Lmic_v1_contig_1014,1262,5024,50.87356163
Lmic_v1_contig_10140,560,30,0.684597163
Lmic_v1_contig_10141,1412,1562,14.13670516
Lmic_v1_contig_10142,3153,2376,9.629956673
Lmic_v1_contig_10143,2020,832,5.26349027
Lmic_v1_contig_10144,362,15,0.529522668
Lmic_v1_contig_10145,232,51,2.80920905
Lmic_v1_contig_10146,2297,790,4.395091932
Lmic_v1_contig_10147,1955,1820,11.89669955
Lmic_v1_contig_10148,227,389,21.89906697
Lmic_v1_contig_10149,227,478,26.90939335
Lmic_v1_contig_1015,1740,32363,237.6847908
Lmic_v1_contig_10150,950,2636,35.45877013
Lmic_v1_contig_10151,550,81,1.882019838
Lmic_v1_contig_10152,1281,2740,27.33400696
Lmic_v1_contig_10153,319,408,16.34448902
Lmic_v1_contig_10154,358,1273,45.4409335
Lmic_v1_contig_10155,346,988,36.4907436
Lmic_v1_contig_10156,333,1116,42.82741173
Lmic_v1_contig_10157,1846,3355,23.22537289
Lmic_v1_contig_10158,443,110,3.173151637
Lmic_v1_contig_10159,1787,2156,15.41793007
Lmic_v1_contig_1016,3052,6059,25.36987286
Lmic_v1_contig_10160,541,817,19.29863797
Lmic_v1_contig_10161,280,50,2.281990544
Lmic_v1_contig_10162,322,144,5.714898059
Lmic_v1_contig_10163,815,1165,18.26712431
Lmic_v1_contig_10164,3291,2742,10.64734768
Lmic_v1_contig_10165,284,804,36.17758531
Lmic_v1_contig_10166,3129,3710,15.15200881
Lmic_v1_contig_10167,498,73,1.873248463
Lmic_v1_contig_10168,1976,1680,10.86486186
Lmic_v1_contig_10169,1336,4711,45.06179772
Lmic_v1_contig_1017,927,12811,176.6058823
Lmic_v1_contig_10170,1813,1351,9.522684867
Lmic_v1_contig_10171,1566,263,2.146178591
Lmic_v1_contig_10172,1081,4843,57.25199737
Lmic_v1_contig_10173,1026,2302,28.67212135
Lmic_v1_contig_10174,457,1179,32.9685216
Lmic_v1_contig_10175,217,8,0.471120629
Lmic_v1_contig_10176,1799,2640,18.75316743
Lmic_v1_contig_10177,583,1682,36.86882562
Lmic_v1_contig_10178,279,424,19.42063924
Lmic_v1_contig_10179,678,560,10.55504771
Lmic_v1_contig_1018,800,6620,105.7474418
Lmic_v1_contig_10180,211,321,19.44126162
Lmic_v1_contig_10181,361,153,5.416092794
Lmic_v1_contig_10182,1429,1857,16.60663126
Lmic_v1_contig_10183,825,1897,29.38429328
Lmic_v1_contig_10184,902,1640,23.23481282
Lmic_v1_contig_10185,1614,2898,22.94545734
Lmic_v1_contig_10186,1863,1398,9.589504871
Lmic_v1_contig_10187,2396,4856,25.89964026
Lmic_v1_contig_10188,1048,553,6.74319496
Lmic_v1_contig_10189,1568,2429,19.79626797
Lmic_v1_contig_1019,978,4404,57.54536156
Lmic_v1_contig_10190,3261,4707,18.44570535
Lmic_v1_contig_10191,406,1890,59.48913282
Lmic_v1_contig_10192,575,68,1.511273042
Lmic_v1_contig_10193,2691,3819,18.13584637
Lmic_v1_contig_10194,635,2681,53.95416258
Lmic_v1_contig_10195,255,397,19.89537796
Lmic_v1_contig_10196,258,406,20.10982055
Lmic_v1_contig_10197,1561,2500,20.46628291
Lmic_v1_contig_10198,330,206,7.977285734
Lmic_v1_contig_10199,330,229,8.867953558
Lmic_v1_contig_102,1227,9214,95.96337483
Lmic_v1_contig_1020,1305,7762,76.00899571
Lmic_v1_contig_10200,236,247,13.37478526
Lmic_v1_contig_10201,1838,926,6.438242746
Lmic_v1_contig_10202,1901,1825,12.26825006
Lmic_v1_contig_10203,2355,4365,23.68618975
Lmic_v1_contig_10204,2621,1670,8.142379081
Lmic_v1_contig_10205,357,248,8.877390667
Lmic_v1_contig_10206,1055,759,9.193718114
Lmic_v1_contig_10207,1411,954,8.640188721
Lmic_v1_contig_10208,464,52,1.43214579
Lmic_v1_contig_10209,2549,8066,40.43805418
Lmic_v1_contig_1021,1833,15149,105.6144564
Lmic_v1_contig_10210,626,144,2.939612101
Lmic_v1_contig_10211,1308,515,5.031544901
Lmic_v1_contig_10212,2662,4991,23.95970057
Lmic_v1_contig_10213,1709,2697,20.1669746
Lmic_v1_contig_10214,2423,3665,19.32958066
Lmic_v1_contig_10215,2312,1801,9.95469024
Lmic_v1_contig_10216,1237,2418,24.97977168
Lmic_v1_contig_10217,411,4762,148.063986
Lmic_v1_contig_10218,1275,1447,14.50307904
Lmic_v1_contig_10219,769,1051,17.46538823
Lmic_v1_contig_1022,1007,30948,392.7398638
Lmic_v1_contig_10220,3527,1782,6.456603357
Lmic_v1_contig_10221,292,346,15.14241397
Lmic_v1_contig_10222,704,68,1.234349431
Lmic_v1_contig_10223,391,49,1.601478786
Lmic_v1_contig_10224,241,75,3.976912982
Lmic_v1_contig_10225,2233,2789,15.96105738
Lmic_v1_contig_10226,342,2919,109.071141
Lmic_v1_contig_10227,1604,1046,8.33353355
Lmic_v1_contig_10228,649,251,4.942320353
Lmic_v1_contig_10229,3152,2822,11.44122874
Lmic_v1_contig_1023,288,1332,59.1035551
Lmic_v1_contig_10230,2255,1983,11.23771556
Lmic_v1_contig_10231,1321,1618,15.65227852
Lmic_v1_contig_10232,2494,3398,17.41120356
Lmic_v1_contig_10233,1349,2131,20.18707366
Lmic_v1_contig_10234,397,1106,35.60135173
Lmic_v1_contig_10235,1462,295,2.578555663
Lmic_v1_contig_10236,3081,2165,8.979829069
Lmic_v1_contig_10237,1574,562,4.562821246
Lmic_v1_contig_10238,234,952,51.99037603
Lmic_v1_contig_10239,234,1333,72.79744879
Lmic_v1_contig_1024,792,5478,88.38910042
Lmic_v1_contig_10240,2443,7961,41.64338504
Lmic_v1_contig_10241,623,1899,38.95280938
Lmic_v1_contig_10242,819,171,2.66817356
Lmic_v1_contig_10243,1878,3103,21.11485266
Lmic_v1_contig_10244,904,180,2.54452043
Lmic_v1_contig_10245,425,22,0.661508788
Lmic_v1_contig_10246,1290,925,9.163341876
Lmic_v1_contig_10247,520,1607,39.49247944
Lmic_v1_contig_10248,1077,128,1.518784422
Lmic_v1_contig_10249,1719,634,4.713193269
Lmic_v1_contig_1025,690,1983,36.72615739
Lmic_v1_contig_10250,1755,362,2.635926628
Lmic_v1_contig_10251,1300,2590,25.45999297
Lmic_v1_contig_10252,877,880,12.82286135
Lmic_v1_contig_10253,1367,1756,16.41564171
Lmic_v1_contig_10254,459,133,3.702890104
Lmic_v1_contig_10255,285,13,0.582908462
Lmic_v1_contig_10256,2299,2150,11.95092047
Lmic_v1_contig_10257,2014,2291,14.53675566
Lmic_v1_contig_10258,457,1288,36.01650197
Lmic_v1_contig_10259,1570,618,5.030262979
Lmic_v1_contig_1026,800,19571,312.6258586
Lmic_v1_contig_10260,1854,3768,25.97185873
Lmic_v1_contig_10261,1291,3293,32.59622869
Lmic_v1_contig_10262,603,1429,30.28424732
Lmic_v1_contig_10263,1714,3403,25.37190047
Lmic_v1_contig_10264,2929,2497,10.89434284
Lmic_v1_contig_10265,2315,3195,17.63687897
Lmic_v1_contig_10266,1928,2984,19.7785139
Lmic_v1_contig_10267,927,390,5.376340183
Lmic_v1_contig_10268,1033,453,5.604020923
Lmic_v1_contig_10269,2666,574,2.751399252
Lmic_v1_contig_1027,693,813,14.99198637
Lmic_v1_contig_10270,906,667,9.408047552
Lmic_v1_contig_10271,4106,2973,9.252899215
Lmic_v1_contig_10272,374,131,4.476118351
Lmic_v1_contig_10273,1488,3449,29.62048264
Lmic_v1_contig_10274,2761,1402,6.489085173
Lmic_v1_contig_10275,2846,3193,14.33725106
Lmic_v1_contig_10276,2588,1315,6.493268304
Lmic_v1_contig_10277,2013,2385,15.14071819
Lmic_v1_contig_10278,817,1062,16.61132701
Lmic_v1_contig_10279,467,52,1.42294571
Lmic_v1_contig_1028,279,1803,82.58352018
Lmic_v1_contig_10280,224,172,9.812559341
Lmic_v1_contig_10281,2023,3072,19.40560541
Lmic_v1_contig_10282,2174,2324,13.66087293
Lmic_v1_contig_10283,3485,2679,9.823625522
Lmic_v1_contig_10284,413,280,8.663828508
Lmic_v1_contig_10285,311,57,2.342158784
Lmic_v1_contig_10286,805,271,4.302048261
Lmic_v1_contig_10287,911,545,7.645044063
Lmic_v1_contig_10288,1388,1439,13.24869784
Lmic_v1_contig_10289,2208,1075,6.221731466
Lmic_v1_contig_1029,992,1621,20.8820538
Lmic_v1_contig_10290,1152,1836,20.36676561
Lmic_v1_contig_10291,420,665,20.23364949
Lmic_v1_contig_10292,942,2392,32.44980864
Lmic_v1_contig_10293,1095,1693,19.7580785
Lmic_v1_contig_10294,2467,1761,9.122042138
Lmic_v1_contig_10295,1089,1534,18.00111256
Lmic_v1_contig_10296,1580,1840,14.88204466
Lmic_v1_contig_10297,1287,2883,28.62648092
Lmic_v1_contig_10298,1440,2044,18.13928928
Lmic_v1_contig_10299,459,384,10.69105113
Lmic_v1_contig_103,1299,14507,142.7152319
Lmic_v1_contig_1030,902,919,13.01999572
Lmic_v1_contig_10300,556,1143,26.2708005
Lmic_v1_contig_10301,2165,1052,6.20954397
Lmic_v1_contig_10302,345,727,26.92881132
Lmic_v1_contig_10303,909,1373,19.30227602
Lmic_v1_contig_10304,898,622,8.851480473
Lmic_v1_contig_10305,2373,3141,16.91500248
Lmic_v1_contig_10306,363,110,3.872468803
Lmic_v1_contig_10307,2158,3558,21.06960389
Lmic_v1_contig_10308,1776,1957,14.08152634
Lmic_v1_contig_10309,951,6190,83.17867533
Lmic_v1_contig_1031,911,13857,194.3805057
Lmic_v1_contig_10310,719,4731,84.08643211
Lmic_v1_contig_10311,513,1598,39.80716761
Lmic_v1_contig_10312,779,1636,26.83784926
